source,kind,score,query_image,candidate_image,inliers,matches,geometry_available
armenian_local,true_match,1.0281660248339177,data/datasets/armenian/images/kerch-1839.jpg!PinterestSmall.jpg,data/datasets/armenian/images/kerch-1839.jpg!PinterestSmall.jpg,182,182,True
armenian_local,true_match,1.0287536159157753,data/datasets/armenian/images/the-bay-of-naples-at-moonlit-night-vesuvius-1840.jpg!PinterestSmall.jpg,data/datasets/armenian/images/the-bay-of-naples-at-moonlit-night-vesuvius-1840.jpg!PinterestSmall.jpg,295,295,True
armenian_local,true_match,1.0287776798009873,data/datasets/armenian/images/lunar-night-on-capri-1841.jpg!PinterestSmall.jpg,data/datasets/armenian/images/lunar-night-on-capri-1841.jpg!PinterestSmall.jpg,204,204,True
armenian_local,true_match,1.027082224935293,data/datasets/armenian/images/th.jpg!PinterestSmall.jpg,data/datasets/armenian/images/th.jpg!PinterestSmall.jpg,315,315,True
armenian_local,true_match,1.0288245069980622,data/datasets/armenian/images/boat-ride-by-kumkapi-in-constantinople-1846.jpg!PinterestSmall.jpg,data/datasets/armenian/images/boat-ride-by-kumkapi-in-constantinople-1846.jpg!PinterestSmall.jpg,1287,1287,True
armenian_local,true_match,1.0284580029547215,data/datasets/armenian/images/battle-of-cesme-at-night-1848.jpg!PinterestSmall.jpg,data/datasets/armenian/images/battle-of-cesme-at-night-1848.jpg!PinterestSmall.jpg,654,654,True
armenian_local,true_match,1.0290944974124432,data/datasets/armenian/images/battle-of-chios-on-24-june-1770-1848.jpg!PinterestSmall.jpg,data/datasets/armenian/images/battle-of-chios-on-24-june-1770-1848.jpg!PinterestSmall.jpg,732,732,True
armenian_local,true_match,1.0281667812168598,data/datasets/armenian/images/view-of-constantinople-1851.jpg!PinterestSmall.jpg,data/datasets/armenian/images/view-of-constantinople-1851.jpg!PinterestSmall.jpg,481,481,True
armenian_local,true_match,1.0272937935590745,data/datasets/armenian/images/icebergs-in-the-atlantic-1870.jpg!PinterestSmall.jpg,data/datasets/armenian/images/icebergs-in-the-atlantic-1870.jpg!PinterestSmall.jpg,454,454,True
armenian_local,true_match,1.0247094044089318,data/datasets/armenian/images/st-petersburg-the-ferry-across-the-river-1870.jpg!PinterestSmall.jpg,data/datasets/armenian/images/st-petersburg-the-ferry-across-the-river-1870.jpg!PinterestSmall.jpg,210,210,True
armenian_local,true_match,1.0270313493907453,data/datasets/armenian/images/caravan-in-the-oasis-egypt-1871.jpg!PinterestSmall.jpg,data/datasets/armenian/images/caravan-in-the-oasis-egypt-1871.jpg!PinterestSmall.jpg,366,366,True
armenian_local,true_match,1.0280546888709068,data/datasets/armenian/images/pushkin-s-farewell-to-the-black-sea-1877.jpg!PinterestSmall.jpg,data/datasets/armenian/images/pushkin-s-farewell-to-the-black-sea-1877.jpg!PinterestSmall.jpg,854,854,True
armenian_local,true_match,1.0298391953110695,data/datasets/armenian/images/persian-woman-1910.jpg!PinterestSmall.jpg,data/datasets/armenian/images/persian-woman-1910.jpg!PinterestSmall.jpg,342,342,True
armenian_local,true_match,1.0273824527859687,data/datasets/armenian/images/portrait-of-the-poet-yeghishe-charents-1923.jpg!PinterestSmall.jpg,data/datasets/armenian/images/portrait-of-the-poet-yeghishe-charents-1923.jpg!PinterestSmall.jpg,386,386,True
armenian_local,true_match,1.029314217567444,data/datasets/armenian/images/may-roses-1939.jpg!PinterestSmall.jpg,data/datasets/armenian/images/may-roses-1939.jpg!PinterestSmall.jpg,1372,1372,True
armenian_local,true_match,1.0278868113458157,data/datasets/armenian/images/apricot-tree-in-blossom-1942.jpg!PinterestSmall.jpg,data/datasets/armenian/images/apricot-tree-in-blossom-1942.jpg!PinterestSmall.jpg,764,764,True
armenian_local,true_match,1.0282558706402778,data/datasets/armenian/images/wild-poppies-1945.jpg!PinterestSmall.jpg,data/datasets/armenian/images/wild-poppies-1945.jpg!PinterestSmall.jpg,1679,1679,True
armenian_local,true_match,1.0276024806499482,data/datasets/armenian/images/dvin-excavations-1952.jpg!PinterestSmall.jpg,data/datasets/armenian/images/dvin-excavations-1952.jpg!PinterestSmall.jpg,550,550,True
armenian_local,true_match,1.0291996359825135,data/datasets/armenian/images/still-life-1953.jpg!PinterestSmall.jpg,data/datasets/armenian/images/still-life-1953.jpg!PinterestSmall.jpg,1819,1819,True
armenian_local,true_match,1.0284427598118782,data/datasets/armenian/images/church-karmravor-of-vii-century-1956.jpg!PinterestSmall.jpg,data/datasets/armenian/images/church-karmravor-of-vii-century-1956.jpg!PinterestSmall.jpg,816,816,True
armenian_local,true_match,1.028983567506075,data/datasets/armenian/images/ararat-and-arch-charents-1958.jpg!PinterestSmall.jpg,data/datasets/armenian/images/ararat-and-arch-charents-1958.jpg!PinterestSmall.jpg,58,58,True
